ID,SN,lng,lat
NSSFHN00246,1LA81M,113.9115219,22.54022026
NSSFHN00247,70NH6B,113.910881,22.54133797
NSSFHN00248,Z8DE92,113.9114456,22.54296494
NSSFHN00249,459VCX,113.9113007,22.5422821
NSSFHN00250,539RUE,113.911438,22.54454231
NSSFHN00251,N4L44W,113.9114075,22.54569817
NSSFHN00252,B4B2T9,113.9113312,22.54948235
NSSFHN00253,045NSW,113.909256,22.55015564
NSSFHN00254,Z6TZ02,113.9098969,22.55017281
NSSFHN00255,WE8Q93,113.9097366,22.54832649
NSSFHN00256,307RKU,113.9116058,22.54999924
NSSFHN00257,48J9EJ,113.911377,22.54802704
NSSFHN00258,VB8V51,113.9118118,22.54697609
NSSFHN00259,46X3NP,113.9108429,22.54885674
NSSFHN00260,NX240S,113.9113846,22.5463562
NSSFHN00261,L9G14P,113.9112244,22.54573059
NSSFHN00262,9X89BT,113.9113998,22.54572678
NSSFHN00263,335EBM,113.9114227,22.54481506
NSSFHN00264,UN919Z,113.911438,22.54383278
NSSFHN00265,19PZ4G,113.9114532,22.54285049
NSSFHN00266,V1D63A,113.911499,22.5413723
NSSFHN00267,D07YW9,113.911499,22.54054451
NSSFHN00268,7K9Y8M,113.9115143,22.53989029
NSSFHN00269,QT178P,113.9114075,22.53854561
NSSFHN00270,2N0Z9K,113.9115524,22.53841782
NSSFHN00271,V67J7J,113.9077377,22.54670334
NSSFHN00272,562BHW,113.9085693,22.5438118
NSSFHN00273,YZ5H49,113.9081116,22.54292297
NSSFHN00274,G6C95J,113.9076385,22.54589081
NSSFHN00275,BP14M6,113.9074631,22.54645538
NSSFHN00276,P9P9C4,113.907135,22.54257965
NSSFHN00277,H2QQ32,113.9077988,22.54305649
NSSFHN00278,3XG27W,113.9078445,22.53988838
NSSFHN00279,AJ07P7,113.9079056,22.53574562
NSSFHN00280,1FT65J,113.9078979,22.53703499
NSSFHN00281,ZN83M1,113.9082184,22.53705025
NSSFHN00283,U3M4R7,113.9056702,22.53470421
NSSFHN00284,SH93E5,113.9079132,22.53353691
NSSFHN00286,J4KA27,113.9073868,22.5313549
NSSFHN00288,9PND19,113.9123154,22.54694557
NSSFHN00289,KR32U1,113.9115295,22.54696465
NSSFHN00290,7R03RD,113.9111633,22.54977036
NSSFHN00291,GBK576,113.9127579,22.54674911
NSSFHN00292,E8A76T,113.9128189,22.54466629
NSSFHN00293,0SS77P,113.9127197,22.5423336
NSSFHN00294,06A2BB,113.9135361,22.54135895
NSSFHN00295,HH343V,113.9131012,22.54331207
NSSFHN00296,44VYU4,113.9128189,22.5456543
NSSFHN00297,93E2MJ,113.9130402,22.54856491
NSSFHN00298,6JU84J,113.9043884,22.53881073
NSSFHN00299,LPN548,113.9040451,22.53862762
NSSFHN00300,4E1LJ7,113.9040527,22.5395298
NSSFHN00301,78R1JT,113.9044113,22.53965378
NSSFHN00302,YQ1S91,113.9044189,22.54013062
NSSFHN00303,J12LT4,113.9021454,22.54211044
NSSFHN00304,U465QF,114.0067139,22.59754753
NSSFHN00305,462HLS,114.0073853,22.59771538
NSSFHN00306,7TPB96,114.0085373,22.59826279
NSSFHN00307,807DZH,114.0084381,22.59846306
NSSFHN00308,2J74GM,113.9995041,22.59748077
NSSFHN00309,0TP44G,113.9997559,22.59615898
NSSFHN00310,7EP36P,113.9999161,22.59604645
NSSFHN00311,EPJ670,113.9998016,22.59416771
NSSFHN00312,569KBS,114.0006485,22.59445381
NSSFHN00313,128JCP,113.9892731,22.59148598
NSSFHN00314,CYZ347,113.9892349,22.59231758
NSSFHN00315,A168PE,113.988945,22.59353447
NSSFHN00316,7U94EW,113.9888611,22.59440041
